#HGNC ID	Score
A1BG	0.16086837
A1CF	0.09535741
A2M	0.21364217
A2ML1	0.09225611
A3GALT2	0.20253049
A4GALT	0.06520600
A4GNT	0.08156696
AAAS	0.09808184
AACS	0.06313874
AADAC	0.05328516
AADACL2	0.09785898
AADACL3	0.12281772
AADACL4	0.06714242
AADAT	0.13967348
AAGAB	0.07137722
AAK1	0.62493789
AAMDC	0.11186198
AAMP	0.17958619
AANAT	0.06823685
AAR2	0.96581957
AARD	0.14085459
AARS	0.18273845
AARS2	0.08969032
AARSD1	0.09859203
AASDH	0.08184341
AASDHPPT	0.12918615
AASS	0.06263393
AATF	0.09743735
AATK	0.20503215
ABAT	0.24534186
ABCA1	0.67534324
ABCA10	0.12451754
ABCA12	0.09720603
ABCA13	0.13845520
ABCA2	0.32532903
ABCA3	0.07335052
ABCA4	0.06677509
ABCA5	0.05790556
ABCA6	0.05420214
ABCA7	0.12999878
ABCA8	0.13899146
ABCA9	0.14647590
ABCB1	0.45749421
ABCB10	0.11232817
ABCB11	0.05731395
ABCB4	0.17630208
ABCB5	0.10543102
ABCB6	0.24770928
ABCB8	0.05007557
ABCB9	0.06598957
ABCC1	0.21697949
ABCC10	0.17043826
ABCC11	0.18272901
ABCC12	0.21032175
ABCC2	0.07722459
ABCC3	0.07344517
ABCC4	0.10235928
ABCC5	0.80862924
ABCC6	0.07530115
ABCC8	0.38953932
ABCC9	0.28622059
ABCD2	0.17306385
ABCD3	0.54800507
ABCD4	0.06830370
ABCE1	0.93132192
ABCF1	0.10477910
ABCF2	0.62401946
ABCF3	0.11405253
ABCG1	0.14886972
ABCG2	0.17145902
ABCG4	0.35048533
ABCG5	0.17473984
ABCG8	0.07693983
ABHD1	0.16149633
ABHD10	0.07556830
ABHD11	0.07834256
ABHD12	0.04974050
ABHD12B	0.11998514
ABHD13	0.36712895
ABHD14A	0.08318001
ABHD14B	0.15775309
ABHD15	0.12590006
ABHD16A	0.48287595
ABHD16B	0.12794996
ABHD17A	0.16639778
ABHD17B	0.32255087
ABHD17C	0.45296749
ABHD18	0.05745799
ABHD2	0.52270501
ABHD3	0.11082890
ABHD4	0.10837071
ABHD5	0.12060532
ABHD6	0.09456199
ABHD8	0.19201228
ABI1	0.96196751
ABI2	0.79278715
ABI3	0.07536748
ABI3BP	0.05450759
ABL1	0.99953350
ABL2	0.95739769
ABLIM1	0.26165974
ABLIM2	0.10467816
ABLIM3	0.08000599
ABR	0.98655243
ABRA	0.13225496
ABRACL	0.13436125
ABRAXAS1	0.22916880
ABRAXAS2	0.12617104
ABT1	0.09583002
ABTB1	0.06984679
ABTB2	0.16751982
ACAA1	0.08022974
ACAA2	0.07846798
ACACA	0.99998190
ACACB	0.59937022
ACAD10	0.11038543
ACAD11	0.05103787
ACAD8	0.06063785
ACAD9	0.05729644
ACADL	0.10689699
ACADM	0.07681678
ACADS	0.05218091
ACADSB	0.06647366
ACADVL	0.06270185
ACAN	0.99581760
ACAP1	0.16582054
ACAP2	0.52675848
ACAP3	0.08849464
ACAT1	0.05207773
ACAT2	0.13966060
ACBD3	0.94813291
ACBD4	0.09329657
ACBD5	0.10312503
ACBD6	0.10567761
ACBD7	0.06126516
ACCS	0.06332615
ACCSL	0.08814351
ACD	0.22371289
ACE	0.33000762
ACER1	0.09322878
ACER2	0.08357776
ACER3	0.22477186
ACHE	0.92691474
ACIN1	0.94192204
ACKR1	0.13464422
ACKR2	0.12817182
ACKR3	0.13886245
ACKR4	0.14081579
ACLY	0.98861773
ACMSD	0.14758440
ACO1	0.07107383
ACO2	0.21092963
ACOD1	0.11899256
ACOT1	0.15066035
ACOT11	0.11515680
ACOT12	0.10997955
ACOT13	0.19978734
ACOT2	0.08465231
ACOT4	0.14055211
ACOT6	0.18548184
